listing_id,avg_sentiment_score,review_scores_rating,rating_normalized,divergence
6699513,0.2753380835056305,4.93,0.9649999999999999,-0.6896619164943694
6702391,0.3517033855120341,4.74,0.8700000000000001,-0.5182966144879659
6734411,0.9335602521896362,4.74,0.8700000000000001,0.06356025218963612
6752440,0.8777523239453634,4.64,0.8199999999999998,0.05775232394536356
6773889,-0.22214004397392273,4.9,0.9500000000000002,-1.172140043973923
6789012,0.1333447496096293,4.69,0.8450000000000002,-0.7116552503903709
6838057,0.7736531794071198,4.86,0.9300000000000002,-0.1563468205928804
6846631,0.3827001452445984,4.6,0.7999999999999998,-0.41729985475540143
6918003,0.06104552745819092,4.81,0.9049999999999998,-0.8439544725418089
6962401,0.7570522874593735,4.91,0.9550000000000001,-0.1979477125406266
7017471,0.9320180416107178,4.82,0.9100000000000001,0.02201804161071763
7055114,0.4978460669517517,4.4,0.7000000000000002,-0.20215393304824847
7115674,0.7205798029899597,4.76,0.8799999999999999,-0.15942019701004018
7118852,0.4060111343860626,4.63,0.815,-0.4089888656139373
7211855,0.8451178669929504,4.93,0.9649999999999999,-0.11988213300704942
7341294,0.3230533003807068,4.72,0.8599999999999999,-0.5369466996192931
7341310,0.7423084378242493,4.68,0.8399999999999999,-0.09769156217575059
7412319,0.5734403133392334,4.92,0.96,-0.38655968666076657
7471071,0.790521651506424,4.9,0.9500000000000002,-0.15947834849357623
7500734,0.8574981689453125,4.8,0.8999999999999999,-0.04250183105468741
7537579,0.8165064454078674,4.88,0.94,-0.12349355459213252
7537716,0.751181960105896,4.95,0.9750000000000001,-0.2238180398941041
7560373,-0.1563403457403183,4.52,0.7599999999999998,-0.9163403457403181
7585100,0.7497497797012329,4.42,0.71,0.039749779701232946
7631853,0.7129960060119629,4.83,0.915,-0.20200399398803714
7664777,0.8989848494529724,4.91,0.9550000000000001,-0.05601515054702766
7680539,0.8127736151218414,4.84,0.9199999999999999,-0.1072263848781585
7737757,0.29803651571273804,4.38,0.69,-0.3919634842872619
7755724,0.8807045221328735,4.67,0.835,0.04570452213287357
7764129,0.8956294059753418,4.61,0.8050000000000002,0.09062940597534164
7777209,0.8718525767326355,4.85,0.9249999999999998,-0.053147423267364324
7777642,0.3598942160606384,4.87,0.935,-0.5751057839393616
7777689,0.7587850689888,4.85,0.9249999999999998,-0.16621493101119977
7790969,0.92060786485672,4.62,0.81,0.11060786485671992
7862880,0.7827394406000773,4.75,0.875,-0.09226055939992273
7864274,0.8251542448997498,4.73,0.8650000000000002,-0.03984575510025046
7880582,0.658424973487854,4.9,0.9500000000000002,-0.2915750265121462
7887684,0.9119094014167786,4.97,0.9849999999999999,-0.07309059858322131
8065745,0.8750498294830322,4.91,0.9550000000000001,-0.07995017051696784
8136447,0.7424057126045227,4.76,0.8799999999999999,-0.1375942873954772
8228442,0.8940637111663818,4.91,0.9550000000000001,-0.060936288833618235
8242967,0.8853562474250793,4.76,0.8799999999999999,0.005356247425079452
8261747,0.8269553780555725,4.81,0.9049999999999998,-0.0780446219444273
8296785,0.6328345537185669,4.81,0.9049999999999998,-0.2721654462814329
8334330,0.8675614595413208,4.66,0.8300000000000001,0.03756145954132073
8375055,0.7845900058746338,4.86,0.9300000000000002,-0.14540999412536637
