listing_id,avg_sentiment_score,review_scores_rating
4867283,0.7945070266723633,4.31
4913247,0.8920426368713379,4.92
4943144,0.6962244510650635,4.88
4964691,0.04363623261451721,4.97
5007513,0.8850163221359253,4.82
5014309,0.8987756371498108,4.78
5031445,-0.8066332936286926,4.84
5074762,0.6600449681282043,4.92
5148753,0.8947667479515076,4.69
5185275,0.7070327401161194,4.67
5241878,0.6950982809066772,4.77
5242781,0.8142312169075012,4.46
5347665,-0.7136282324790955,4.67
5358272,0.8368580341339111,4.62
5366718,0.26525946458180744,4.71
5480774,0.732107937335968,4.81
5565022,0.832967221736908,4.82
5673081,0.9047446250915527,4.62
5775602,0.86310795545578,4.9
5838604,0.41947412490844727,4.85
5920464,0.5170795917510986,4.67
5952398,-0.09607204794883728,4.63
5969642,0.7129491567611694,4.95
5970749,0.837814211845398,4.45
5971468,-0.5453057885169983,4.28
6057511,0.8771084547042847,4.8
6159231,0.8533762693405151,4.94
6164354,0.826538473367691,4.73
6239775,0.6862865686416626,4.85
6250200,-0.4388623833656311,4.86
6278178,-0.16939982771873474,4.73
6305340,0.3516201972961426,4.86
6312629,0.8705821633338928,4.94
6329764,0.7930083870887756,4.95
6329896,0.7124698162078857,4.88
6398846,0.4342561364173889,4.85
6416190,0.9071452617645264,4.52
6485868,0.26168449719746906,4.53
6489423,0.8176624774932861,4.82
6616352,0.9125122725963593,4.96
6653977,0.8770906329154968,4.75
6699513,0.2753380835056305,4.93
6702391,0.3517033855120341,4.74
6734411,0.9335602521896362,4.74
6752440,0.8777523239453634,4.64
6773889,-0.22214004397392273,4.9
6789012,0.1333447496096293,4.69
6838057,0.7736531794071198,4.86
6846631,0.3827001452445984,4.6
6918003,0.06104552745819092,4.81
6962401,0.7570522874593735,4.91
7017471,0.9320180416107178,4.82
7055114,0.4978460669517517,4.4
7115674,0.7205798029899597,4.76
7118852,0.4060111343860626,4.63
7211855,0.8451178669929504,4.93
7341294,0.3230533003807068,4.72
7341310,0.7423084378242493,4.68
7412319,0.5734403133392334,4.92
7471071,0.790521651506424,4.9
7500734,0.8574981689453125,4.8
7537579,0.8165064454078674,4.88
7537716,0.751181960105896,4.95
7560373,-0.1563403457403183,4.52
7585100,0.7497497797012329,4.42
7631853,0.7129960060119629,4.83
7664777,0.8989848494529724,4.91
7680539,0.8127736151218414,4.84
7737757,0.29803651571273804,4.38
7755724,0.8807045221328735,4.67
7764129,0.8956294059753418,4.61
7777209,0.8718525767326355,4.85
7777642,0.3598942160606384,4.87
7777689,0.7587850689888,4.85
7790969,0.92060786485672,4.62
7862880,0.7827394406000773,4.75
7864274,0.8251542448997498,4.73
7880582,0.658424973487854,4.9
7887684,0.9119094014167786,4.97
8065745,0.8750498294830322,4.91
8136447,0.7424057126045227,4.76
8228442,0.8940637111663818,4.91
8242967,0.8853562474250793,4.76
8261747,0.8269553780555725,4.81
8296785,0.6328345537185669,4.81
8334330,0.8675614595413208,4.66
8375055,0.7845900058746338,4.86
8457568,0.9086499214172363,4.95
8461188,0.20549821853637695,4.88
8474983,0.9087991714477539,4.55
8507929,0.8352873921394348,4.9
8526852,0.7532949447631836,4.84
8526904,0.8895951509475708,4.68
8549422,-0.02027180790901184,4.73
8549809,0.460675984621048,4.8
8616643,0.7964301904042562,4.64
8640950,0.8398241996765137,4.88
8653574,0.9298425912857056,4.75
8654051,0.7332645058631897,4.81
8675161,0.39445023238658905,4.69
8703776,0.899505615234375,4.78
8769212,0.5839713315169016,4.92
8832107,0.8750613331794739,4.9
8931548,0.918756902217865,4.89
8975439,0.8449411988258362,4.5
8976962,0.628664918243885,4.71
9012311,0.926750898361206,4.8
9066964,0.6590709090232849,4.27
9075590,0.7148962749375237,4.98
9096300,0.5061677694320679,4.94
9142346,0.5174716487526894,4.73
9176480,0.8884641826152802,4.79
9176702,0.8304635882377625,5.0
9211436,0.7668675184249878,4.84
9286334,-0.6883348226547241,4.73
