occupancy_rate_pct,review_scores_rating,number_of_reviews,has_reviews,neighbourhood_median_price,accommodates,bedrooms,bathrooms,beds,host_is_superhost,availability_365,calculated_host_listings_count,amenities_count,room_Hotel room,room_Private room,room_Shared room,prop_Entire home,prop_Entire rental unit,prop_Entire townhouse,prop_Other,prop_Private room in condo,prop_Private room in home,prop_Private room in rental unit,prop_Private room in townhouse,prop_Room in boutique hotel,prop_Room in hotel,accommodates_x_bedrooms,actual_price,predicted_price,residual,abs_pct_error
0.0,4.86,0,0,952.255,2,1.0,1.0,1.0,1,365,82,32,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1015.8000000000002,910.5604,105.23957519531268,10.360265327358995
0.0,5.0,1,1,952.255,2,1.0,1.0,1.0,1,365,82,34,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,935.77,876.37634,59.39365722656248,6.34703583429288
0.27,4.86,0,0,742.245,2,1.0,1.0,1.0,0,364,17,18,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,685.8299999999998,626.96106,58.868940429687314,8.583605329263422
3.01,4.88,8,1,1824.52,2,1.0,1.0,1.0,1,354,7,34,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,2999.9999999999995,1347.3314,1652.668579101562,55.088952636718744
80.55,5.0,2,1,1441.98,2,1.0,1.0,1.0,1,71,10,16,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,3126.999999999998,1207.1737,1919.8262939453107,61.39514851120281
8.49,4.86,0,0,1296.0,7,3.0,3.0,5.0,1,334,9,42,0,0,0,1,0,0,0,0,0,0,0,0,0,21.0,2556.2399999999993,4582.266,-2026.0261132812507,79.25805531879836
20.0,5.0,10,1,1400.0,2,1.0,1.0,1.0,1,292,16,40,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,3256.92,1294.627,1962.293046875,60.24996152423149
0.27,4.58,19,1,1615.25,2,1.0,1.0,1.0,0,364,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,209.95999999999998,988.3305,-778.3705053710937,370.72323555491226
22.47,4.93,15,1,1688.29,2,1.0,1.0,1.0,1,283,1,34,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,1002.6799999999998,1195.2598,-192.57976562500016,19.20650313410063
21.1,4.52,71,1,2220.88,6,1.0,1.0,4.0,0,288,6,26,1,0,0,0,0,0,0,0,0,0,0,1,0,6.0,3643.9999999999977,2953.6038,690.3962402343727,18.94610977591584
66.85,1.0,1,1,1251.33,2,1.0,1.0,2.0,0,121,1,40,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,856.9199999999998,1602.1244,-745.2043896484377,86.96312253751083
6.03,5.0,3,1,1286.96,1,1.0,2.0,1.0,1,343,23,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,303.00000000000006,272.87085,30.129150390625057,9.943613990305296
0.55,4.86,0,0,1000.0,8,3.0,3.0,5.0,0,363,1,26,0,0,0,0,0,1,0,0,0,0,0,0,0,24.0,5534.999999999999,4292.0913,1242.908691406249,22.455441579155362
0.0,4.86,0,0,742.245,1,1.0,1.0,1.0,0,365,11,13,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,1130.0000000000005,889.00525,240.99475097656295,21.326969112970165
0.0,4.86,0,0,1251.33,1,1.0,1.0,4.0,0,365,27,14,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,435.45,392.27374,43.17625732421874,9.915319169644905
54.52,4.71,14,1,1010.0,2,1.0,1.0,1.0,1,166,14,29,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,829.5200000000002,873.8643,-44.34431884765604,5.345780553531684
3.29,5.0,2,1,1750.0,2,1.0,1.0,1.0,1,353,67,29,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,711.44,1427.0468,-715.6067529296874,100.5856787543134
9.32,5.0,3,1,1688.29,2,1.0,1.0,1.0,0,331,1,19,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1215.1399999999996,1098.4852,116.65477050781215,9.600109494199202
39.45,4.96,118,1,1400.0,4,2.0,2.0,3.0,1,221,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,3659.67,2927.9185,731.7515429687501,19.995014385689146
26.03,4.29,7,1,1359.0,2,1.0,1.0,1.0,0,270,48,18,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,699.4000000000001,974.1843,-274.7843261718749,39.28857966426578
50.68,4.79,14,1,2652.55,4,2.0,2.0,2.0,1,180,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,6322.529999999994,3745.326,2577.2040722656193,40.76222765673902
0.27,4.11,9,1,1000.0,2,1.0,1.0,2.0,0,364,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,992.8699999999998,883.0486,109.82141601562478,11.06100657846695
0.82,4.86,0,0,1445.25,2,1.0,1.0,1.0,0,362,7,40,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,1863.9999999999993,1255.1102,608.8897705078118,32.665760220376185
0.0,5.0,1,1,1824.52,2,1.0,1.0,1.0,0,365,36,54,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1222.59,1301.8711,-79.28109375000008,6.484683642922001
