listing_id,cluster,calculated_host_listings_count,price,occupancy_rate_pct,review_scores_rating,number_of_reviews,availability_365
1366089948202461640,4,129,1100.37,0.27,4.86,0,364
933185787146577435,4,176,1336.0,0.27,4.86,0,364
1630302633576074038,3,20,1343.64,75.62,4.86,0,89
42556650,0,6,6787.0,49.86,5.0,1,183
46452651,4,191,1325.88,4.38,4.71,116,349
42321123,3,1,3580.57,75.34,4.86,0,90
1258004796501445037,2,6,930.0,21.64,4.82,55,286
1103916556463856955,2,2,1394.05,28.22,3.75,8,262
1594762165215675691,2,43,1298.15,0.0,4.86,0,365
865040708299470884,2,11,833.06,27.12,4.8,94,266
1596908585343678849,2,63,2213.88,0.0,4.86,0,365
1652018706732465496,2,82,977.86,6.85,5.0,2,340
37850314,3,6,1061.19,70.14,4.77,13,109
1600515699001117442,2,33,2244.01,0.0,4.86,0,365
40689409,3,14,2205.0,47.67,4.86,0,191
1302541023889877970,3,3,4201.5,50.68,4.86,0,180
927257185619929039,4,191,1499.0,1.64,4.69,45,359
1680569264640740673,3,17,3048.0,56.99,4.86,0,157
1654814520422023890,4,182,1538.35,59.73,5.0,2,147
976582242139903178,3,4,4393.53,76.16,4.9,102,87
1055015449598105377,3,17,1528.0,75.62,4.92,12,89
1607313600679552746,2,17,3025.0,11.51,5.0,9,323
930944993383668686,4,176,1497.0,0.0,5.0,2,365
12326209,2,4,971.0,0.27,4.67,98,364
1693953445783287461,2,41,693.73,0.27,4.86,0,364
9053892,2,1,1737.5,0.0,4.86,0,365
41022754,3,3,865.41,60.82,4.89,9,143
1260753547616685962,5,40,763.9,0.0,3.5,2,365
984641235888874251,2,2,560.39,1.92,4.86,0,358
1457963607363029440,4,97,1128.95,0.0,4.86,0,365
1224730549870478713,2,47,1528.72,25.21,4.86,0,273
1503474478836595939,5,171,913.0,0.0,2.0,1,365
1622350678067542193,4,144,1351.14,0.27,4.86,0,364
1548198759427930068,2,40,2282.35,0.0,4.86,0,365
951140668419454801,4,97,695.73,26.3,5.0,2,269
1613043765018614619,2,84,1328.0,0.0,4.8,10,365
1695573612438286520,2,3,3953.04,3.01,4.86,0,354
1319483284973441971,5,3,787.73,0.0,1.0,1,365
669746684792497035,3,12,2089.5,55.89,4.93,69,161
631475209848135531,2,1,401.45,11.23,5.0,4,324
1673009000721672914,2,30,700.0,0.27,4.86,0,364
1194535286757999585,2,27,2258.34,4.93,4.84,118,347
17491027,1,36,600.0,26.03,4.77,185,270
26483378,2,11,437.0,0.27,4.45,22,364
1199727175689152204,3,4,783.15,37.81,5.0,7,227
1336978036409242527,2,51,1088.87,0.0,4.86,0,365
1647097328267538229,2,3,605.11,8.49,5.0,1,334
1670211545886632654,3,12,4184.0,74.25,4.86,0,94
1460003614978881717,4,97,1133.08,0.0,5.0,1,365
1100343884041300751,2,59,717.29,0.0,5.0,2,365
1056448662698322701,2,2,492.99,1.37,4.86,0,360
958967108254092863,5,18,3443.0,0.55,3.0,1,363
1699939806938003373,2,1,1153.0,4.11,5.0,4,350
1251217124774655888,3,2,1163.8,58.63,4.88,42,151
1380345982185901104,2,69,1726.67,0.0,4.86,0,365
1418049957259592870,4,103,1700.0,20.0,4.96,26,292
1548947988591901678,0,4,8548.0,9.59,4.91,11,330
27004534,2,8,5706.0,0.0,4.44,9,365
1691825755249138856,4,112,736.09,0.0,4.86,0,365
1418652163621101000,3,62,1298.75,58.63,4.86,0,151
1140504956417035090,3,17,1706.25,76.16,4.5,2,87
1644074539479224168,2,2,1100.54,4.11,4.86,0,350
1428739155519167905,2,8,3723.76,0.0,4.86,0,365
594345380884968063,3,1,1769.9,83.29,4.76,25,61
1203711015380825491,4,103,1707.71,26.3,4.86,0,269
23827762,3,1,500.0,49.32,5.0,3,185
35073341,2,3,757.0,0.55,4.85,20,363
681417125530359253,3,17,2536.0,50.68,4.72,25,180
1567195791431264142,2,15,650.0,0.0,4.57,14,365
831721555514559618,0,41,11172.4,0.0,4.86,0,365
1587368786663409132,2,12,990.0,0.27,4.86,0,364
2401250,3,1,2224.38,83.01,4.87,23,62
1665778068960245095,2,2,1327.41,0.82,4.86,0,362
987249018354248287,3,36,910.0,60.27,4.74,19,145
1687691336170770806,2,4,704.0,35.89,4.86,0,234
1692576037786582824,0,1,10219.5,0.0,4.86,0,365
1697676078518892873,2,41,606.19,0.27,4.86,0,364
1284426184355872353,3,8,1133.33,39.45,4.93,28,221
1560162257800916390,2,1,2273.23,26.03,4.86,0,270
42701038,3,23,872.93,83.29,4.5,56,61
1674413243940891980,2,83,1461.33,0.0,4.86,0,365
934998345319259825,2,4,1681.67,2.19,4.93,30,357
1025284150915180719,4,231,4064.0,26.3,4.86,0,269
1286253271181223794,2,40,1451.58,0.0,4.86,0,365
760528361670566933,2,1,1712.0,26.3,4.86,0,269
1389800577556319175,2,2,319.53,0.27,4.86,0,364
18794556,3,1,2396.5,50.68,4.86,0,180
1688487039482362618,2,13,990.0,20.55,4.86,0,290
43391976,5,12,560.0,0.0,1.0,1,365
1232581368079521884,2,2,381.0,0.27,5.0,11,364
1358415282366738630,2,7,2224.0,0.0,4.86,0,365
9708142,2,1,1712.0,0.0,4.86,0,365
1623464676561520345,2,8,4555.58,0.0,4.86,0,365
42420820,3,1,3309.45,50.68,4.86,0,180
954656498101245237,2,5,1740.0,28.77,4.75,4,260
839242532084310446,2,20,1430.0,0.27,4.86,0,364
1374382478350898871,2,8,699.1,0.0,4.86,0,365
26863477,2,48,2336.0,26.58,4.37,109,268
606090569887175227,3,1,1474.64,56.71,5.0,8,158
1373721175205041747,2,51,1752.07,0.0,4.86,0,365
1621045774229916568,4,234,860.45,6.03,4.86,0,343
587287130509070278,0,2,10700.0,0.0,4.86,0,365
1580504813319584629,4,117,775.55,0.27,4.86,0,364
39782160,2,5,5000.0,0.27,4.86,0,364
1078185335764352119,2,9,3268.0,26.85,4.86,0,267
1661313532152143389,2,2,613.8,0.27,4.86,0,364
945274260238650894,2,1,1769.88,1.1,4.86,0,361
908357930087741922,2,6,3345.0,1.37,4.5,4,360
852366463866629683,2,3,2185.0,3.84,5.0,1,351
1537036391328647805,2,74,2603.77,20.82,5.0,2,289
1616314552114440139,4,247,5620.2,0.0,4.86,0,365
1054221668753157839,4,231,3481.0,26.3,5.0,1,269
43663420,1,1,3823.0,50.96,4.98,228,179
31027167,2,6,1043.0,0.27,4.8,5,364
740293645258059766,4,176,3566.0,0.0,4.86,0,365
1334613725094766549,2,44,1237.85,32.33,4.63,8,247
1029632284945971569,4,231,2557.0,26.3,4.86,0,269
665645063829105608,2,2,1313.0,2.74,4.5,4,355
1446815515369177808,2,66,1829.87,0.27,4.86,0,364
1557757896002335133,4,231,4405.0,0.0,4.86,0,365
1562166699434543464,2,3,1041.5,0.55,5.0,2,363
1345247129880020986,2,2,1327.41,0.27,4.86,0,364
1054139236489064971,2,1,821.65,26.3,4.86,0,269
954883737462349973,2,7,540.92,26.03,5.0,57,270
1280313008927236822,2,3,673.4,0.27,4.0,4,364
883762953999888158,2,27,434.92,0.0,4.86,0,365
1391138205186549739,2,14,908.65,1.64,5.0,5,359
1185769428660735283,2,8,2176.0,4.66,4.86,0,348
1566745941582577203,2,5,698.0,9.59,5.0,18,330
25297102,3,1,3024.5,59.45,4.91,88,148
678032926956933491,2,2,3390.8,20.0,5.0,27,292
20886996,2,23,1557.17,0.0,4.92,62,365
11499759,2,2,3424.0,1.1,4.86,0,361
1258424254320793365,3,1,638.82,40.27,5.0,3,218
1381739353625468961,2,26,1137.5,0.0,4.86,0,365
1364380465988605945,0,9,12243.0,10.68,4.9,20,326
881464400248335845,2,11,5192.5,0.0,4.88,26,365
41330513,2,8,2156.0,21.64,4.2,5,286
1162614954018572323,2,16,2375.0,14.79,4.86,0,311
1309681601195789398,3,5,1200.0,50.14,3.88,25,182
1631802161726946185,2,2,970.0,0.0,4.86,0,365
16340118,2,1,950.48,0.27,4.86,0,364
1365351232985878679,2,46,2164.71,0.27,4.86,0,364
1414260374186521886,3,1,7760.0,75.62,4.86,0,89
1370175267895966008,4,113,1217.33,0.0,4.86,0,365
639419669634086250,2,39,1502.0,3.01,5.0,1,354
1335778401917593714,2,1,3196.0,27.12,4.91,22,266
1559450286151776964,5,9,874.94,0.27,2.0,1,364
1451461202277150616,2,7,5700.0,0.0,4.86,0,365
1373739291553865322,2,51,1752.07,0.0,4.86,0,365
1527700507823466308,2,52,1065.5,1.37,5.0,1,360
999711093047787590,2,1,657.32,26.3,4.86,0,269
1419153495365195021,5,88,1536.67,4.93,3.0,5,347
1363072014391159871,2,58,1816.75,0.0,5.0,2,365
10011621,2,4,3318.53,0.0,4.0,2,365
1639642755312008455,2,1,5309.65,0.0,4.86,0,365
1617641085501600245,3,1,2375.0,58.63,4.86,0,151
1704233327421841137,2,6,4140.0,7.4,4.86,0,338
1309169473905628801,2,1,5535.0,0.55,4.86,0,363
26612016,2,3,610.02,9.04,4.88,96,332
37286883,2,26,47.91,0.55,5.0,3,363
577865238994934364,2,5,271.6,1.1,4.86,0,361
